Zrzut pomiarów z pliku PocketTopo .top
========================================
Plik: Czarna-zimna.top
Data tripu: 2011-10-02 00:00:00
Liczba tripów: 1
Liczba strzałów: 756
Liczba referencji: 0
Deklinacja: 0.00°
Komentarz tripu: (brak)

Komentarze do strzałów:
- #83: 1.22 -> (bez stacji docelowej) | syfon
- #143: 1.38 -> (bez stacji docelowej) | do brzegu jeziorka
- #144: 1.38 -> 1.39 | brzeg kamienia
- #195: 1.55 -> 1.56 | do wystepu na skale tuz za wyjsciem z rury, po lewej stronie, troche wyzej niz polowa wysokosci
- #233: 1.67 -> 1.68 | do czubka stalagmita
- #319: 1.91 -> 1.92 | do kraty, przy wejsciu gdzie zwykle zaczepiona na kracie lina. Na wysokosci batinoxa, ok. 50 cm do osi otworu od niego.
- #754: 1.220 -> 1.221 | otwor Zimnej, strop nad otworem, okolo polowy szerokosci

Pełna lista strzałów:
lp	from	to	dist[m]	az[°]	inc[°]	roll[°]	flip	trip	komentarz
321	1.91	1.92	7.380	251.45	40.39	67.50		0	
322	1.93	1.92	4.370	86.36	21.28	337.50		0	
323	1.93	1.92	4.370	86.34	21.44	337.50		0	
324	1.93	1.92	4.370	86.33	21.40	337.50		0	
325	1.93	1.94	4.760	170.69	-45.18	30.94		0	
326	1.93	1.94	4.760	170.62	-45.24	30.94		0	
327	1.93	1.94	4.760	171.06	-45.06	32.34		0	
328	1.94	1.95	5.840	243.03	-38.78	12.66		0	
329	1.94	1.95	5.830	243.07	-38.67	12.66		0	
330	1.94	1.95	5.810	243.19	-38.78	14.06		0	
331	1.95	1.96	5.170	222.62	-46.26	1.41		0	
332	1.95	1.96	5.180	222.49	-46.29	1.41		0	
333	1.95	1.96	5.170	222.65	-46.27	1.41		0	
334	1.96	1.97	5.100	201.34	-41.69	312.19		0	
335	1.96	1.97	5.100	201.12	-41.78	310.78		0	
336	1.96	1.97	5.110	201.45	-41.67	310.78		0	
337	1.97	1.98	5.900	156.95	-40.01	77.34		0	
338	1.97	1.98	5.890	156.91	-40.02	77.34		0	
339	1.97	1.98	5.900	156.88	-40.04	77.34		0	
340	1.98	1.99	3.070	263.75	-30.50	354.38		0	
341	1.98	1.99	3.060	263.90	-30.40	354.38		0	
342	1.98	1.99	3.060	263.84	-30.38	354.38		0	
343	1.99	1.100	5.890	234.37	-48.42	11.25		0	
344	1.99	1.100	5.910	234.10	-48.30	11.25		0	
345	1.99	1.100	5.890	234.48	-48.22	11.25		0	
346	1.100	1.101	5.850	188.11	-38.88	345.94		0	
347	1.100	1.101	5.850	188.15	-38.88	345.94		0	
348	1.100	1.101	5.850	188.06	-38.88	345.94		0	
349	1.101	1.102	6.770	147.88	-34.60	45.00		0	
350	1.101	1.102	6.760	148.02	-34.60	45.00		0	
351	1.101	1.102	6.760	147.77	-34.59	45.00		0	
352	1.102	1.103	19.430	173.86	-34.63	52.03		0	
353	1.102	1.103	19.430	174.09	-34.66	52.03		0	
354	1.102	1.103	19.440	174.33	-34.69	52.03		0	
355	1.103	1.104	2.390	323.30	-3.08	350.16		0	
356	1.103	1.104	2.400	323.41	-3.03	350.16		0	
357	1.103	1.104	2.400	323.19	-3.08	350.16		0	
358	1.104	1.105	4.600	263.47	-41.07	32.34		0	
359	1.104	1.105	4.580	263.26	-41.07	32.34		0	
360	1.104	1.105	4.590	263.24	-41.11	33.75		0	
361	1.105	1.106	5.640	214.54	-29.33	23.91		0	
362	1.105	1.106	5.630	214.48	-29.44	23.91		0	
363	1.105	1.106	5.630	214.91	-29.44	25.31		0	
364	1.106	1.107	9.210	211.57	-31.84	326.25		0	
365	1.106	1.107	9.220	211.54	-31.81	326.25		0	
366	1.106	1.107	9.200	211.54	-31.73	326.25		0	
367	1.107	1.108	17.900	248.42	-40.29	9.84		0	
368	1.107	1.108	17.900	248.45	-40.24	8.44		0	
369	1.107	1.108	17.900	248.46	-40.33	8.44		0	
370	1.108	1.109	7.180	242.13	-41.39	1.41		0	
371	1.108	1.109	7.170	242.24	-41.28	1.41		0	
372	1.108	1.109	7.180	242.02	-41.38	1.41		0	
373	1.109	1.110	8.780	211.13	-35.91	352.97		0	
374	1.109	1.110	8.770	211.18	-35.91	351.56		0	
375	1.109	1.110	8.770	211.25	-35.80	351.56		0	
376	1.110	1.111	10.860	213.70	-35.36	47.81		0	
377	1.110	1.111	10.870	213.81	-35.29	47.81		0	
378	1.110	1.111	10.870	213.83	-35.26	47.81		0	
379	1.111	1.112	1.760	331.39	22.97	5.62		0	
380	1.111	1.112	1.760	331.23	23.03	5.62		0	
381	1.111	1.112	1.760	331.47	23.08	5.62		0	
382	1.112	1.11200	19.140	241.91	-36.97	97.03		0	
383	1.112	1.11200	19.120	242.11	-36.91	97.03		0	
384	1.112	1.11200	19.120	242.07	-37.02	97.03		0	
385	1.11200	1.113	3.160	157.30	-12.45	75.94		0	
386	1.11200	1.113	3.160	157.47	-12.44	75.94		0	
